RCP_SNO,CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_TIME_NM,RCP_PARTS_DTLS,INFO_NA,INFO_PRO,INFO_FAT,INFO_CAR,INFO_ENG,RCP_NA_TIP,MANUAL01,MANUAL02,MANUAL03,MANUAL04,MANUAL05,MANUAL06
26,버섯순두부찌개,끓이기,채소류,찌개,15분이내,"?필수 재료 : 표고버섯(3g), 애호박(10g), 감자(10g), 양파(3g), 미나리(3g), 부추(1g), 대파(1g), 청양고추(1g), 순두부(100g)
?육수 : 다시마(3g), 표고버섯 밑동(3g), 물(250g)
?양념 : 저염된장(5g), 찹쌀가루(3g), 다진마늘(1g), 들깻가루(7g), 저염국간장(1g)",243.1,6.4,3.9,6.3,85.7,"?된장의 양을 줄이는 대신 찹쌀가루와 들깻가루로 구수한 맛을 내 나트륨 함량을 낮췄어요.
?감자는 체내 나트륨 배출을 돕는 칼륨이 다량 함유된 채소예요.","1. 표고버섯은 머리와 밑동을 분리하고, 머리 부분은 잘게 썬다.","2. 애호박, 감자, 양파는 한입 크기로 썰고, 미나리와 부추는 3cm 길이로 썰고, 대파와 청양고추는 송송 썬다.","3. 물에 다시마, 표고버섯 밑동을 넣고 끓으면 건더기를 건져 육수를 만든다.","4. 육수에 저염된장과 찹쌀가루를 풀어 한소끔 끓이고, 감자와 다진마늘을 넣어 끓인다.","5. 애호박과 표고버섯을 넣고, 순두부, 양파, 들깻가루, 저염국간장을 넣어 한소끔 끓인다.","6. 대파, 청양고추, 미나리, 부추를 듬뿍 올려 마무리한다."
27,구운주먹밥,굽기,쌀,밥/죽/떡,10분이내,"재료 현미(100g), 톳(30g), 생김(5g), 달걀(50g)
밥 밑간 참기름(4g), 참깨(2g)
톳 무침양념 설탕(2g), 식초(2g)",79.4,5.79,6.84,35.43,335.1,조미김 대신 생김을 사용해 염분 섭취를 줄였다.,"1. 현미로 밥을 지은 뒤 밥 밑간을 넣고
섞는다.",2. 톳에 톳 무침양념을 넣고 버무린다.,3. 밥에 톳을 넣고 버무린다.,"4. 밥을 먹기 좋은 크기로 둥글게 뭉친
뒤 부순 생김을 골고루 묻힌다.","5. 주먹밥에 달걀물을 입힌 뒤 팬에
구워 마무리한다.",
28,전복리조또,끓이기,해물류,밥/죽/떡,30분이내,"쌀(100g), 전복(1개), 당근(20g), 양파(30g), 양송이버섯(3개),
우유(200g), 올리브오일(10g), 소금(0.2g), 후춧가루(0.01g),
버터(10g)",92.1,7.1,4.7,53.1,282.9,"천연 미네랄이 가득한 전복을 사용하면, 소금을 적게 넣어도 싱겁지 않아요.",1. 쌀은 깨끗이 씻어 30분 정도 불린다,"2. 전복은 수저로 떼어 내어 소금으로
세척한다.",3. 준비된 전복에 버터를 두르고 굽는다,"4. 당근. 양파 . 양송이는 입자 있게
다진다.","5. 냄비에 올리브 오일을 넣고 불린 쌀을
볶는다.","6. 쌀이 어느 정도 볶아지면 다져 놓은
야채를 넣어 볶다가 우유를 넣어
끓이고, 쌀이 퍼지면 구워 놓은 전복을
넣어 다시 끓인다."
29,닭강정,굽기,닭고기,메인반찬,30분이내,"닭고기(200g), 카레가루(20g), 녹말가루(10g),
튀김기름(400g), 저염간장(20g), 레몬즙(10g), 설탕(10g)
꿀(10g), 다진마늘(10g)
- 소스 : 요거트(20g), 양파(20g), 당근(20g), 파프리카(20g)
오이(20g), 케첩(10g)",377.9,29.1,40.8,22.4,573.1,상큼한 요거트 소스와 카레 튀김옷을 이용하여 별도의 소금을 닭에 넣지 않아도 맛있는 닭강정을 즐길 수 있어요.,1. 닭은 깨끗이 씻어 여러 번 토막을 낸다.,"2. 토막 낸 닭을 카레가루와 녹말가루에
버무려 놓는다.","3. 양파와 당근, 파프리카, 오이는 크기를
작은 깍두기 모양으로 썰어 준비한다.","4. 팬에 식용유를 두르고 다진마늘를 살짝
볶은 뒤 저염간장에 레몬즙과 설탕, 꿀,
볶은 마늘을 넣어 섞는다.","5. 요거트에 썰어 놓은 양파와 당근,
파프리카, 오이, 케첩을 넣어 섞어준다.","6. 튀김기름 온도가 170℃가 되면 버무려
놓은 닭(②)을 넣고 두 번 튀겨, 기름을
제거하고, ④번 소스에 살짝 버무려
접시에 담아, 준비한 요거트소스(⑤)를
올려 완성한다."
30,고등어구이,굽기,기타,메인반찬,30분이내,"고등어 70g, 밀가루 4g[소스소개]저나트륨발사믹소스:간장 1g, 올리브오일 13g, 발사믹식초 6g, 꿀 4g",105,14.7,20.3,6.3,279.9,고등어는 소금을 뿌리지 않은 생태로 갈색이 나도록 바싹 굽는다.,1. 손질된 고등어는 5cm 길이로 토막낸 뒤 껍질에 칼집을 넣는다.,2. 칼집 낸 고등어에 밀가루를 묻힌다.,3. 오븐을 200℃로 예열한다.,"4. 간장, 올리브오일, 발사믹식초, 꿀을 섞어 소스를 완성한다.",5. 고등어를 팬에 넣어 오븐에 굽는다.,6. 저나트륨발사믹소스와 구운 고등어를 함께 제공한다.
31,냉파스타,기타,채소류,양식,60분이내,"스파게티(100g), 올리브오일(10g), 소고기(50g)
저염간장(10g), 설탕(10g), 마늘(10g), 깻잎(10g)
양파(20g), 파프리카(20g), 육수(400g), 설탕(10g)
식초(10g), 저염간장(10g)",81.9,9,2.4,57.8,289.1,새콤달콤한 육수에 양념된 소고기구이가 어우러져 나트륨 함량을 낮출 수 있어요,"1. 스파게티는 약 10분 정도 삶아 건져
찬물에 헹궈 물기를 빼고 올리브오일을
발라 준비한다.","2. 소고기는 넓게 편으로 펴서 간장, 설탕,
마늘을 넣어 양념을 한다.","3. 양념된 소고기를 팬에 구워 냅킨위에
올려 기름을 빼놓는다.","4. 깻잎과 양파, 파프리카는 길게 채를
썰어 준비한다.","5. 팬에 기름을 넣고 팬이 뜨거울 때
양파를 넣어 재빠르게 볶아낸다.","6. 준비한 육수에 설탕과 식초, 저염간장을
넣어 차갑게 냉장보관하고, 그릇에
스파게티를 담고, 그 위에 볶은 양파와
깻잎, 파프리카와 구운 고기를 올린 후
차가운 육수를 부어 완성한다."
32,로제파스타,볶음,기타,면/만두,,"토마토홀 50g, 토마토 100g, 다진양파 30g, 다진마늘 15g
푸실리 50g, 치즈가루 25g, 파슬리가루 1g, 함초소금2g, 마늘오일 15g
곁들이야채 : 양파 25g, 가지 25g, 파프리카 20g, 애호박 20g",41.4,10.4,10.4,37,282.6,곁들이 채소를 입자가 있게 잘라주어 씹는 맛을 주었고 채소의 신선함을 함께 주어 나트륨 사용을 줄였다.,1. 토마토홀과 토마토는 송송 다져준다.,"2. 다진양파, 다진마늘과 다진토마토를 섞어
소스를 볶아서 신맛을 날려준다.",3. 푸실리는 삶아 오일에 버무려주고 볶아준다.,"4. 양파, 애호박, 가지, 파프리카를 먹기 좋게
잘라 팬에 볶아준다.","5. 접시에 볶아진 채소와 파스타면을 서로 다시
볶아준다.","6. 접시에 푸슬리를 올려 셋팅하고 토마토소스를
뿌려주고 치즈가루를 뿌려 완성한다."
33,가지볶음,볶음,채소류,메인반찬,,"가지 70g, 생강 0.5g, 고추장 2g, 물엿 2g, 통깨 0.5g, 들기름 2g",68,0.9,2.5,4.7,37.6,,1. 가지를 깨끗하게 씻는다.,2. 가지를 1x1x4cm 크기로 자른다.,3. 생강을 곱게 다진다.,"4. 다진 생강과 고추장, 물엿, 통깨를 섞어 양념장을 만든다.",5. 팬에 들기름을 넣고 센불에서 가지를 볶는다.,6. 가지가 다 볶아지면 양념장을 넣고 섞일 정도로만 볶는다.
34,토마토라면,끓이기,가공식품류,면/만두,,"재료 애호박(30g), 양파(20g), 청양고추(5g), 대파(5g), 토마토(300g)
라면스프(3g), 라면(100g)
육수 다시마(2.5g), 멸치(2.5g), 무(10g), 물(250g)",423.2,1.1,1,4.9,190.4,"라면스프의 양을 ¼로 줄여 나트륨 섭취량을 낮추고,
대신 토마토와 청양고추를 넣어 상큼함과 칼칼함을 더했다.","1. 냄비에 육수 재료를 넣고 10분간
끓여 건더기를 건진다.","2. 애호박은 돌려 깎아 채 썰고, 양파도
채 썰고, 청양고추와 대파는
어슷 썬다.","3. 토마토는 200g은 잘게 다지고,
100g은 두툼하게 썬다.","4. 육수에 라면스프와 라면을 넣고
살짝 익힌 뒤 양파, 애호박, 다진
토마토를 넣고 끓인다.","5. 면이 다 익으면 두툼하게 썬
토마토를 넣고 10초간 더 끓인다.",6. 대파와 청양고추를 올려 마무리한다.
35,멍게비빔밥,비빔,해물류,밥/죽/떡,15분이내,"비빔밥: 쌀밥 210, 멍게살 50, 부추 10, 무순 5, 김 0.5, 참기름 4, 통깨 1.5 양념장: 고추장 5, 설탕 1, 레몬즙 3, 간 양파 3, 매실액 3",532.8,9.7,6.2,73.3,399.5,멍게살을 다져서 냉동실에 넣어 살짝 얼렸다가 넣어도 맛있다. &#8226; 멍게 향이 강할 때는 쑥갓을 넣어 비비면 강한 향이 줄어든다.,1. 멍게는 꼭지를 따고 껍질을 벗겨 한입 크기로 썬다.,2. 부추는 2cm 길이로 썬다.,3. 김도 부추와 같은 길이로 가늘게 채 썬다.,4. 양념장 재료를 모두 섞어 양념장을 만든다.,5. 손질한 멍게에 참기름을 넣어 가볍게 버무린다.,"6. 그릇에 밥을 담고 부추, 무순, 멍게, 김, 통깨를 올리고 양념장을 넣어 비벼 먹는다."
36,감자미역국,끓이기,채소류,국/탕,60분이내,"건미역 1.5g, 감자 40g, 다진마늘 1g, 참기름 1g, 국간장 2g, 물 300ml",174.6,1.1,2.3,2.5,35.4,감자에서 나오는 전분이 깊은 맛을 내줘서 염분 사용을 줄일 수 있어요.,1. 미역을 물에 불리고 건져내 물기를 제거한다.,2. 감자는 껍질을 제거하고 한입 크기로 자른다.,3. 냄비에 참기름을 두르고 미역을 볶다가 물을 부어 끓인다.,4. 국물이 우러나면 감자를 넣고 익을 때까지 끓인다.,5. 국간장을 넣어 간을 맞춘다.,6. 다진마늘을 넣고 한소끔 더 끓여서 완성한다.
37,배추된장국,끓이기,채소류,국/탕,10분이내,"배추 20g, 두부 30g, 양파 20g, 대파 10g, 다시멸치 5g, 청양고추 1g, 다진마늘 0.5g, 생강즙 0.5g, 된장 2g, 쌀뜨물 60ml, 물 300ml",52.1,4.2,1.3,4,44.9,두부는 미리 한번 데쳐 내면 염분을 줄일 수 있어요.,"1. 배추, 양파, 두부는 한입 크기로 썰고 대파와 청양고추는 어슷썰어 준비한다.","2. 전처리 후 남은 양파껍질, 대파뿌리와 다시멸치를 넣고 육수를 우린 후 거른다.",3. 두부는 끓는 물에 10분정도 넣어서 염분기를 빼준다.,4. 냄비에 참기름과 배추를 넣어 볶다가 쌀뜨물과 육수를 넣어 끓인다.,"5. 두부와 양파, 대파, 고추를 넣는다.","6. 된장, 간마늘, 생강즙을 넣어 간을 맞춘다."
38,양배추롤,찜,채소류,기타,,"재료 현미(50g), 멥쌀(50g), 다시마(2g), 새우가루(15g), 양배추(50g)
얇게 썬 쇠고기(부채살, 80g), 송송 썬 붉은 고추(5g)
달래무침 달래(10g), 간장(10g), 참기름(5g)",127.6,12.01,6.75,18.36,227.8,"밥에 새우가루를 넣어 감칠맛을 냈고,
소금간을 하는 대신 달래무침을 곁들여 나트륨 섭취량을 줄였다.
또한 양배추에는 칼륨이 풍부하게 함유되어 있어 체내 나트륨 배출에 효과적이다","1. 현미와 쌀을 씻어 30분간 불린 뒤
물기를 빼고, 다시마를
우려낸 물(불린 쌀 동량)로 밥을 지어
식힌 후 새우가루를 넣어 섞는다.","2. 양배추는 15~20분 정도 쪄서
준비한다.","3. 얇게 저민 쇠고기를 팬에 올려
익힌다.","4. 달래는 0.5㎝ 정도로 송송 썰어
간장, 참기름에 버무린다.","5. 김발에 양배추, 고기, 밥 순서대로
올려 돌돌 말아 양배추롤을 만든다.","6. 롤을 한입 크기로 썰어 담고
달래 무침을 얹은 뒤 송송 썬
붉은 고추를 올려 마무리한다."
39,장어구이,굽기,해물류,메인반찬,30분이내,"장어 250g, 우유 100g
뿌리채소조림 : 우엉 60g, 더덕 60g, 생강 20g, 맛간장 15g, 생강청 15g
올리고당 15g, 발사믹식초 30g
곁들이김치 : 명이김치 25g, 백김치 25g",460.7,16,4,21.5,186.1,소스를 만들 때 발사믹식초를 사용하여 특유의 맛을 활용해 졸여 나트륨을 줄였다.,1. 장어는 손질해 우유에 담가 이물질을 빼준다.,"2. 더덕과 우엉은 가늘게 채 썰어 냉수에 담가
준다.",3. 생강은 채 썰어 냉수에 담가준다.,"4. 조림장을 만들어 더덕, 우엉, 생강을 각각
볶아 섞어준다.","5. 맛간장과 발사믹식초를 졸이다가 장어를
볶아준다.","6. 곁들이 김치를 준비하고 졸여진 뿌리채소와
장어를 섞어 완성한다."
40,닭곰탕,끓이기,닭고기,국/탕,,"?필수재료 : 닭 정육(90g), 대파(10g), 무(70g), 양파(20g), 홍고추(5g), 마늘(3g), 청양고추(5g)
?육수재료 : 닭뼈(200g), 다시마(3g), 대파(5g), 마늘(2g), 물(600g)
?양념 : 후추(5g)",63.5,7.6,0.7,2.5,46.5,?닭뼈와 채소로 진하게 육수를 만들어 나트륨 함량을 낮췄어요.,"1. 닭정육과 닭뼈를 깨끗이 씻어 물, 마늘, 대파, 다시마를 넣고 육수를 끓인다.",2. 닭 정육이 익으면 건져 잘게 찢는다.,"3. 무는 나박썰기하고 대파와 홍고추, 청양고추는 어슷썰기 하고 양파와 마늘은 다진다.",4. 육수가 우러나면 체에 육수를 걸러낸다.,5. 냄비에 마늘을 볶다가 닭고기를 넣고 함께 볶은 뒤 육수와 손질한 채소를 넣어 푹 끓인다.,6. 후추로 간을 해 마무리한다.
41,토마토덮밥,끓이기,채소류,메인반찬,30분이내,"쌀(100g), 가지(50g), 새우(20g)
- 소스 : 양파(20g), 마늘(10g), 올리브오일(10g)
토마토소스(20g), 케첩(20g), 토마토(80g), 설탕(5g)
- 곁들임채소 : 어린잎(5g)",181.2,15.6,3.6,71.1,379.3,토마토의 칼륨 성분이 나트륨 배출에 도움이 되요.,"1. 쌀은 물에 불려 밥을 짓고, 가지는 길게
썰어 팬에 구워 놓는다.",2. 양파와 마늘은 잘게 다져 준비한다.,3. 토마토는 입자있게 다져 놓는다.,"4. 새우는 정종을 넣어 데쳐 껍질을 벗겨
준비한다.","5. 팬에 올리브 오일을 넣고 양파와 마늘을
먼저 볶는다.","6. 볶아지는 양파와 마늘에 토마토소스와
케첩을 넣어 볶다가 토마토와 설탕을
넣어 볶다가 졸이고, 밥을 그릇에 담고,
구운 가지와 새우를 올린 후 졸여 놓은
토마토소스를 위에 올린 후 어린잎을
살짝 올려 완성한다."
42,목살스테이크,굽기,돼지고기,메인반찬,,"돼지목살(120g), 생강(5g), 로즈마리(2g), 소금(0.3g)
후춧가루(0.1g), 칠리소스(20g), 케첩(20g), 포도주스(100g)
양파(20g), 마늘(10g), 버터(10g), 브로컬리(20g), 당근(20g)
적채(20g), 샐러리(20g)",391.6,29,37.3,23.4,545.1,소스를 넣어 졸여 만든 목살 스테이크는 별도의 소금간이 필요 없기 때문에 나트륨을 감소시켜 만들 수 있어요.,"1. 돼지목살에 생강즙과 로즈마리, 소금,
후춧가루를 뿌려 숙성시킨다.","2. 양파와 마늘, 샐러리는 입자있게
다진다.","3. 칠리소스와 케첩, 포도주스를 섞는다.","4. 브로컬리는 살짝 데쳐, 작게 썰고,
당근과 적채 채를 썰어 준비한다.","5. 냄비에 버터를 넣고, 양파와 마늘을
넣어 볶는다.","6. 볶은 냄비(⑤)에 샐러리를 넣고 포도
주스(③)와 채소(④)를 넣고 자작하게
졸인 후 팬에 버터를 살짝 바르고, 팬이
따끈해 지면 숙성한 목살을 넣어 익힌다.
목살이 익혀지면, 자작하게 졸인 소스에
넣어 다시 한 번 더 졸여 완성한다."
43,단호박크림파스타,볶음,채소류,퓨전,15분이내,"단호박(150g), 파스타(80g), 소금(0.2g)
다진 마늘(10g), 버터(10g), 베이컨(20g), 양송이(20g)
양파(20g), 육수(100g), 우유(50g), 생크림(20g)",205.1,8.8,4.2,40.9,236.6,"베이컨을 사용하면, 소금을 별도로 넣지 않아도 맛이 좋은 크림 파스타를 만들 수 있어요.","1. 단호박은 잘라 씨를 제거하고 껍질을
벗겨 김이 오른 찜통에서 약 20분 정도
찐다.","2. 찐 단호박이 한 김 식으면, 채에 곱게
내려 준비하고, 스파게티는 소금을
넣고 삶아 건져놓는다.","3. 베이컨은 입자있게 썰고, 양송이버섯은
껍질을 벗겨 다지고, 양파도 입자있게
다진다.","4. 팬에 버터를 녹인 뒤 다진 마늘을 먼저
넣고 은근히 볶아 향을 만든다.","5. 볶은 마늘(④)에 베이컨과 양송이,
양파를 넣고 다시 볶는다.","6. 볶은 채소(⑤)에 육수를 붓고 끓이다가
으깬 단호박(②), 생크림, 우유를 넣어
한소끔 끓인 뒤 삶아놓은 스파게티면
(②)을 넣고 다시 한 번 더 끓여 완성
한다."
44,팥죽,끓이기,콩/견과류,밥/죽/떡,2시간이상,"팥 40g, 찹쌀가루 30g, 찹쌀 10g, 물 300g, 설탕기호에따라",9,11.8,0.1,60,287.1,"죽, 스프류는 염도가 낮아도 점도의 질감이 있어서 싱겁게 느껴지지 않으므로 나트륨 섭취율을 줄일 수 있다.",1. 찹쌀을 씻어 불린다.,2. 팥을 씻어서 건진 후 잠길 만큼 물을 붓고 끓인다.,3. 검붉은 물이 우러나오면 제거하고 팥 분량의 3배 정도 물을 넣어서 완전히 뭉그러질 때까지 끓인다.,4. 찹쌀가루는 끓는 물로 익반죽하여 1.5cm 가량의 찹쌀경단을 빚는다.,5. 삶은 팥을 손으로 주무른 다음 체에 거르고 앙금을 가라앉도록 하여 웃물을 먼저 끓으면 불린 찹쌀을 넣고 퍼질 때 까지 끓인다.,6. 앙금과 찹쌀경단을 차례로 넣고 끓인 뒤 경단이 떠오르면 2~3분 더 끓여 완성한다.(설탕이나 꿀은 기호에 따라 사용한다.)
45,단호박리조또,끓이기,채소류,밥/죽/떡,30분이내,"현미(100g), 단호박(100g), 양송이버섯(20g), 양파(20g)
버터(20g), 우유(30g), 설탕(10g), 단호박가루(20g)
생크림(20g), 요거트(10g)
- 곁들임 : 캐슈넛(20g), 아몬드(20g), 어린잎(10g)",129.1,8,5.3,48.2,272.4,단호박과 견과류가 함께 어우러져 만든 리조또는 나트륨을 감소시킨다.,"1. 현미쌀은 깨끗이 씻어 약 30분 이상
충분히 불린다.","2. 단호박은 껍질을 벗겨 먹기 좋게 썰어
불린 현미 쌀과 함께 밥을 짓는다.","3. 양송이와 양파는 다져, 냄비에 볶다가
우유와 설탕, 호박가루를 넣는다.","4. 끓고 있는 냄비에 단호박 현미밥(②)을
넣고 끓인다.","5. 밥이 어느 정도 어우러지면, 생크림과
요거트를 섞어 한 번 더 젓는다.","6. 만들어진 리조또(⑤) 위에 캐슈넛과
아몬드, 어린잎 채소를 올려 함께
완성한다."
46,단호박전,부침,채소류,메인반찬,30분이내,"단호박 50g, 밀가루 50g, 소금 0.2g, 식용유 10g, 물 10g",77,6.7,10.7,46.1,310.4,단호박 자체가 맛이 있어 소금을 넣지 않고 전을 부쳐도 담백하다.,1. 단호박은 껍질을 벗겨 속살은 그대로 두고 씨만 털어 낸다.,2. 속살은 숟가락으로 긁어내어 다진다.,3. 나머지 부분은 채썰어 2~3번 다진 후 소금을 조금 넣고 살짝 절인다.,4. 호박에 물기가 생기면 밀가루를 넣어 되직하게 반죽한다.,5. 팬이 가열되면 식용유를 넣고 한 숟가락씩 떠넣어 얇게 펴서 부친다.,6. 앞뒤로 노릇하게 부치고 접시에 담아 완성한다.
47,광어스테이크,굽기,해물류,양식,60분이내,"광어(150g), 소금(0.3g), 후춧가루(0.02g), 밀가루(20g)
달걀(50g), 아몬드(20g), 호두(20g), 올리브오일(20g)
- 소스 : 플레인요거트(50g), 꿀(10g), 레몬즙(20g)",192.9,32.2,31,19.8,487.2,광어를 견과류와 함께 어울려 만든 스테이크는 나트륨을 적게 사용해도 맛과 영양을 느낄 수 있어요.,"1. 광어는 포를 길게 떠서 소금과
후춧가루에 밑간을 해 놓는다.","2. 아몬드와 호두는 입자있게 다져
준비한다.","3. 밑간이 되어 있는 광어포에 밀가루와
달걀물을 입힌다.","4. 달걀물을 입힌 광어살에 다시 다져
놓은 견과류를 입혀 준다.","5. 팬에 올리브 오일을 넣고, 팬이 따끈해
지면 광어 살을 조심스럽게 앞뒤로
익혀 접시에 담는다.","6. 플레인요거트에 꿀과 레몬즙을 넣고
골고루 섞어 광어스테이크소스를
만들어 완성한다."
48,느타리버섯볶음,볶음,채소류,메인반찬,30분이내,"?필수재료 : 느타리버섯(25g), 파프리카(빨간색, 노란색 각 10g), 청피망(10g), 크래미(10g), 식용유(3g)
?양념 : 소금(1g), 후추(3g), 간장(1g)",158.2,2.4,3,3.8,51.5,?크래미의 간을 이용해 소금의 사용을 줄였어요.,1. 느타리버섯은 밑동을 자르고 가닥가닥 찢어 데쳐서 찬물에 헹궈 물기를 제거한다.,"2. 파프리카와 청피망은 채 썰고, 크래미는 잘게 찢는다.",3. 팬에 기름을 두르고 손질한 파프리카와 피망을 넣어 볶는다.,4. 느타리버섯을 넣어 볶는다.,5. 게살을 넣어 볶다가 간장으로 색을 낸다.,6. 소금과 후추로 마무리한다.
49,단호박피자,굽기,채소류,양식,15분이내,"다진 소고기(20g), 다진 마늘(10g), 소금(0.2g)
후춧가루(0.02g), 맛술(10g), 미니단호박(120g), 생크림(20g)
양송이(20g), 양파(20g), 당근(20g), 청피망(20g)
파프리카(20g), 베이컨(20g), 햄(20g), 올리브오일(10g)
모짜렐라치즈(20g), 파슬리가루(0.5g)",372.1,19.3,19.9,23.2,349.2,호박을 도우로 이용하여 영양가는 높이고 나트륨 함량은 줄일 수 있어요,"1. 다진 소고기에 다진마늘, 소금,
후춧가루, 맛술을 넣고 잘 섞어
숙성을 시킨다.","2. 미니 단호박을 반으로 잘라 속을 파낸
뒤 약 15분 정도 쪄서 호박 속을 긁는다.","3. 긁어 놓은 호박 속에 생크림을 넣어
골고루 섞는다.","4. 양송이와 양파, 당근, 베이컨, 햄은
사각지게 썰고, 피망과 파프리카는
속을 제거하고 사각지게 썰어 놓는다.","5. 재워놓은 소고기(①)와 베이컨, 햄을
올리브기름에 볶다가 썰어 놓은 채소를
넣어 함께 볶아 준비한다.","6. 속 파낸 단호박(②)에 준비해둔 호박속
(③)과 볶아놓은 햄과 채소(⑤)를 담고,
모짜렐라치즈를 올려 오븐에 약 5분
정도 구운 뒤 파슬리가루를 살짝 뿌려
완성한다."
50,토마토떡볶이,볶음,채소류,퓨전,60분이내,"떡볶이떡(100g), 어묵(20g), 양파(20g), 당근(20g)
표고버섯(20g), 양배추(20g), 대파(20g), 육수(100g)
- 소스 : 고추장(20g), 케첩(20g), 올리고당(20g), 다진마늘(10g)
토마토(100g), 사과(20g), 버터(10g)",503.7,7.8,2.7,73.9,351,"토마토와 사과를 이용하여 나트륨을 줄이고, 매운맛도 많이 줄여 누구나 즐겨 먹을 수 있게 만들었어요.",1. 떡볶이는 뜨거운 물에 담그어 놓는다.,"2. 토마토, 사과는 입자 있게 다진다.","3. 떡볶이떡은 뜨거운 물에 담그어
놓는다.","4. 고추장과 케첩, 올리고당, 다진 마늘을
골고루 섞는다.","5. 냄비에 버터를 녹인 뒤 토마토와 사과
(②), 소스(④)를 넣고 볶아준다.","6. 볶고 있는 소스(⑤)에 떡볶이 떡(①)과
썰어놓은 채소와 어묵(③)을 넣고,
육수를 부어 끓이다가 대파를 넣고
한 번 더 끓여 완성한다."
51,컵밥,볶음,쌀,밥/죽/떡,,"쌀밥 420g(2컵), 김 4g(1장), 배추김치 30g, 달걀 200g(4개),
베이컨 30g(3장), 소시지 30g(1개), 시금치 70g, 고춧가루 20g(1큰술), 참기름 6g(1작은술), 마늘 6g(1작은술)",117.8,7.1,11.4,21.8,218.2,"베이컨과 소시지는 데치고, 김치는 물에 헹구어 염분을 제거하고 칼륨이 많은 시금치를 사용하여 나트륨 배출을 돕는다.","1. 베이컨과, 소시지를 다진 후 끓는 물에 데쳐 팬에 볶고 다진 김치는 물에 행군 후 고추가루를 넣어 볶는다.",2. 시금치는 데친 후 다져 참기름과 다진 마늘을 넣어 무치고 달걀은 부쳐서 다진다.,3. 김은 참기름을 발라 구워 길게 자르고 밥과 준비된 재료를 층층히 쌓아 완성한다.,,,
52,유린기,튀김,닭고기,기타,30분이내,"?필수 재료 : 닭다리살(110g), 양상추(25g), 그린치커리(5g), 라디치오(5g), 홍고추(5g), 청양고추(5g), 대파(5g), 무순(3g), 마늘(1g), 생강(1g), 식용유(3g)
?소스 : 식초(5g), 저염간장(5g), 레몬즙(2g), 설탕(1g), 물(5g)
?양념 : 옥수수전분(5g)",148.2,11.3,11,7.3,173.3,?청양고추와 레몬을 사용해 매콤하고 새콤하면서 나트륨이 적은 소스를 만들었어요.,"1. 양상추와 그린치커리, 라디치오는 먹기 좋은 크기로 찢고, 고추는 잘게 다진다.","2. 대파와 생강, 마늘은 곱게 다지고, 팬에 식용유를 두른 뒤 볶는다.",3. 소스 재료를 넣어 약한 불에서 5분 정도 끓인다.,4. 소스를 식힌 뒤 잘게 썬 고추를 섞는다.,"5. 닭다리살에 옥수수전분을 묻히고, 팬에 식용유를 두른 뒤 노릇하게 굽는다.","6. 그릇에 손질한 채소를 깔고, 구운 닭다리살을 올린 뒤 소스와 무순을 올려 마무리한다."
53,해물칼국수,끓이기,해물류,면/만두,60분이내,"밀가루(180g), 소금(0.3g), 녹말가루(20g), 덧밀가루(50g)
애호박(20g), 느타리버섯(20g), 양파(20g), 대파(20g)
홍합(20g), 새우(20g), 미더덕(10g), 저염간장(10g)
- 육수 : 건새우(10g), 멸치(10g), 다시마(5g), 무(50g)
양파(20g), 마늘(20g)",150.3,12.7,2.7,27.4,184.6,칼국수면을 직접 만들어 나트륨 함량을 낮추고 풍부한 해산물을 이용하여 간장 사용을 줄였어요.,"1. 밀가루에 소금과 녹말가루를 넣고
반죽을 한다.","2. 냄비에 건새우와 머리와 내장을 제거한
멸치, 다시마, 무, 마늘, 양파를 넣고
약30분 정도 끓여 체에 걸러 육수를
만들어 놓는다.","3. 호박은 반달모양으로 썰고, 느타리는
손으로 찢고, 양파와 대파는 길게 썰어
준비한다.","4. 새우는 요지를 이용하여 새우등의
내장을 제거하고, 홍합은 족사를 때어
내고 솔을 이용하여 껍질을 깨끗이
씻어낸 후 흐르는 물에 깨끗하게
행구고, 미더덕은 깨끗이 씻어 놓는다.","5. 반죽을 해 놓은 밀가루에 덧 밀가루를
뿌려가며 얇게 밀어준다.","6. 얇게 밀어 놓은 밀가루를 칼로 썰어
덧밀가루를 털어내고, 만들어 놓은
육수에 칼국수를 넣고, 준비한 채소
(③)와 해물(④)을 넣고 간장으로 간을
맞추어 완성한다."
54,골뱅이무침,무침,가공식품류,기타,30분이내,"골뱅이 25g, 양파 13g, 대파 0.8g, 오이 25g, 미나리 13g, 깻잎 3g [소스소개]저나트륨초고추장소스:고추가루 1g, 생강즙 1g, 사과주스 10g, 설탕 10g, 고추장 2g, 식초 3g, 깨소금 1g, 참기름 1.3g, 마늘다진것 1g, 청고추 5g, 홍고추 5g",202,5.1,2.4,17.5,104,,1. 양파와 대파는 채 썰고 오이는 반달썰기한다.,2. 미나리와 깻잎은 다지듯 썬다.,3. 골뱅이는 물기를 제거하고 한 입 크기로 썬다.,4. 대파 채는 얼음물에 담가 둔다.,5. 저나트륨 초고추장소스를 만든다.,6. 내기 직전에 무친 후 완성한다.
